id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365,number_of_reviews_ltm,license
33492080,"Cosy, creative garden flat in Easton",6470448,Jenny,,Easton,51.46251,-2.55717,Entire home/apt,66,2,33,2022-08-29,0.81,1,10,15,
33502488,Cosy family home with garden.,5312770,Sigrid,,Horfield,51.50271,-2.57324,Entire home/apt,250,1,42,2022-08-21,1.01,3,4,6,
33515556,"Bright, cosy studio apartment in Stokes Croft",17782869,Christabel,,Ashley,51.46054,-2.58652,Entire home/apt,113,2,89,2022-09-09,2.20,1,349,13,
33538344,"Light, Bright 2 Bedroom House ⭐️Private Garden⭐️",252721506,Aneta,,Lawrence Hill,51.46628,-2.57196,Entire home/apt,60,2,4,2022-05-29,0.10,1,0,1,
33605960,Lovely cosy ENTIRE home in Easton,216097975,Laura,,Easton,51.46791,-2.5624,Entire home/apt,63,2,8,2022-09-01,0.19,2,0,4,
33616612,"Stunning, spacious boutique apartment close to BBC",51686051,Michael,,Cotham,51.465786,-2.599881,Entire home/apt,90,30,3,2022-09-03,0.13,17,27,2,
33640858,Beautiful apartment in Clifton Wood area + parking,185237699,Andrey,,Clifton,51.4548,-2.61092,Entire home/apt,119,1,13,2022-02-20,0.31,1,0,3,
33700602,Self-contained garden annexe,254030818,Silvia,,Henbury & Brentry,51.50576,-2.62724,Entire home/apt,55,2,38,2020-12-27,0.92,1,173,0,
33704103,King Room,254057759,Natasha,,Hotwells & Harbourside,51.4548,-2.6061,Private room,147,1,6,2022-07-26,0.30,2,357,3,
33704926,Double Room,254057759,Natasha,,Hotwells & Harbourside,51.45598,-2.60603,Private room,141,1,12,2022-07-29,0.71,2,353,6,
33707581,The Rodney Hotel - Double Room,254083013,The Rodney Hotel,,Clifton,51.45645,-2.61897,Private room,137,1,9,2022-02-06,0.27,3,358,2,
33707732,The Rodney Hotel - Small Double Room,254083013,The Rodney Hotel,,Clifton,51.45496,-2.61863,Private room,128,1,17,2022-08-31,0.51,3,358,10,
33707811,The Rodney Hotel - Single Room,254083013,The Rodney Hotel,,Clifton,51.4557,-2.61871,Private room,88,1,17,2022-05-14,0.68,3,361,12,
33708257,Luxurious apartment close to Cribbs Causeway Mall,254087034,Francis,,Henbury & Brentry,51.52571,-2.58027,Entire home/apt,120,2,16,2022-09-11,1.07,1,243,15,
33763876,Family Room,254524614,The Washington,,Clifton Down,51.4586,-2.61123,Private room,119,1,20,2022-08-27,0.61,6,353,18,
33764113,King Room,254524614,The Washington,,Clifton Down,51.45945,-2.6101,Private room,119,1,2,2022-07-08,0.18,6,347,2,
33764190,Double Room,254524614,The Washington,,Clifton Down,51.45945,-2.61085,Private room,108,1,5,2022-08-26,0.64,6,357,5,
